Index,DOI,Title,Abstract,Study Population
37,10.1186/s12872-021-02275-0,Admission white blood cell count predicts post-discharge mortality in patients with acute aortic dissection: data from the MIMIC-III database,Inflammation underlies both the pathogenesis and prognosis in patients with acute aortic dissection (AAD). This study aimed to assess the association of ICU admission of white blood cell count (WBCc) with post-discharge mortality in these patients.,"We included patients with AAD including both Stanford type A and type B based on the ICD-9 code in MIMIC-III database. Of these patients, we excluded those including: (1) For the adult study and avoiding more confounding factors, patients aged < 18 years or > 80 years were excluded; (2) patients who had a clear etiology, such as Marfan syndrome, iatrogenic aortic dissection (AD) secondary to cardiac surgery, a history of surgery for AD, or chronic AD; (3) no WBCc data; (4) missing individual data including demographics, laboratory tests, comorbidities, etc. more than 5%."
38,10.2147/IJGM.S330752,Association Between Obstructive Sleep Apnea and Reduced Mortality in Critically Ill Patients: A Propensity Score-Based Analysis,"The impact of obstructive sleep apnea (OSA) on the prognosis of intensive care unit (ICU) patients remains controversial. Thus, this study aimed to determine the association between OSA status and outcomes in ICU patients.","Adult patients (aged 18 years or above) were included in this study. Critically ill patients diagnosed with OSA were extracted from the Medical Information Mart for MIMIC-III database using the ICD-9 codes (code = “32,723”). For patients who were admitted to the ICU more than once, only data related to the first ICU admission was considered."
39,10.3389/fmed.2020.609769,Development and Validation of a Sepsis Mortality Risk Score for Sepsis-3 Patients in Intensive Care Unit,"Many severity scores are widely used for clinical outcome prediction for critically ill patients in the intensive care unit (ICU). However, for patients identified by sepsis-3 criteria, none of these have been developed. This study aimed to develop and validate a risk stratification score for mortality prediction in sepsis-3 patients.","We included adult patients admitted to the ICU with sepsis. Sepsis was identified based on sepsis-3 criteria, which included suspected infection and a SOFA score ≥ 2 (1). We excluded the following patients: (1) non-adults (<16 years old), (2) multiple admissions, (3) receiving cardiothoracic surgical service (their postoperative physiologic derangements or not translating to the same mortality risk as others), (4) with metastatic cancer (inflammatory and immune response different from others); (5) with suspected infection more than 24 h before or after ICU admission (patients admitted to ICU with sepsis), and (6) missing important data (demographics, variables for calculating traditional severity scores)."
40,10.3389/fmed.2023.1047933,Association and prediction of red blood cell distribution width to albumin ratio in all-cause mortality of acute kidney injury in critically ill patients,"The progression of acute kidney injury (AKI) might be associated with systemic inflammation. Our study aims to explore the association and predictive value of the red blood cell distribution width (RDW) to human serum albumin (ALB) ratio (RDW/ALB ratio), an inflammation-related indicator, in the risk of all-cause mortality and renal replacement therapy (RRT) in AKI patients admitted in intensive care units (ICU).","Participants who were aged ≥18 years, met the diagnosis of AKI, and were hospitalized in the ICU within 48 h of first admission (considering one of the AKI definitions was evaluated within 48 h) were included in this study. Participants missing data on ALB and RDW were excluded from this study. The participants were followed up until death after ICU admission. AKI was defined as an increase of serum creatinine (SCr) level by ≥ 0.3 mg/dl (≥ 26.5 μmol/l) within 48 h or an increase of SCr to ≥ 1.5 times the baseline, which was known or presumed to have occurred within the prior 7 days, or urine volume < 0.5 ml/kg/h for 6 h based on the Kidney Disease: Improving Global Outcomes (KDIGO)."
41,10.1111/cts.13445,Relationship between blood glucose levels and length of hospital stay in patients with acute pancreatitis: An analysis of MIMIC-III database,We aimed to investigate the effect of blood glucose levels on length of stay (LOS) in patients hospitalized with acute pancreatitis (AP).,"Patients age ≥ 18 years and diagnosed with AP were retrieved based on the ICD-9, code 5770. We used the following exclusion criteria: (1) patients who lacked serum glucose information with 24 h of admission, and (2) patients who had been hospitalized for less than 24 h."
42,10.1002/jcla.24423,Red blood cell distribution width-to-albumin ratio is associated with all-cause mortality in cancer patients,"Cancer causes a serious health burden on patients worldwide. Chronic low-level inflammation plays a key role in tumorigenesis and prognosis. However, the role of the red blood cell distribution width (RDW)-to-albumin (RA) ratio in cancer mortality remains unclear.","Patients were included in the study if they: (1) were diagnosed with cancer based on the ICD-9; (2) were aged ≥16 years; and (3) only had one ICU admission  during the study period. Conversely, subjects who had more than 10% of the data missing and those with a length of hospital stay <24 h were excluded from the study."
43,10.1097/CCE.0000000000000960,Negativity and Positivity in the ICU: Exploratory Development of Automated Sentiment Capture in the Electronic Health Record,To develop proof-of-concept algorithms using alternative approaches to capture provider sentiment in ICU notes.,"We included patients greater than or equal to 18 years with greater than or equal to one ICU note from prespecified categories: physician, general, consult, nursing, respiratory, rehabilitation, and nutrition."
44,10.1007/s10157-023-02383-5,Development and validation of a nomogram to predict the risk of renal replacement therapy among acute kidney injury patients in intensive care unit,There are no universally accepted indications to initiate renal replacement therapy (RRT) among patients with acute kidney injury (AKI). This study aimed to develop a nomogram to predict the risk of RRT among AKI patients in intensive care unit (ICU).,"Patients meeting criteria for Kidney Disease: Improving Global Outcomes (KDIGO) serum creatinine (sCr) definition were enrolled for this study [10]: an increase in sCr of 26.5 μmol/L within 48 h or an elevation at least 1.5 times the baseline value within 7 days [10]. The baseline sCr level was defined as the minimum sCr measured during the 7 days before ICU admission. When the pre-admission sCr was missing, the first sCr after ICU admission was regarded as the baseline sCr. For patients with multiple hospitalizations, we only used their first hospitalization. The exclusion criteria included: (i) patients with a diagnosis of end-stage renal disease (ESRD) based on ICD-9-CM code 585; (ii) patients already with RRT at ICU admission; (iii) age < 18 or individual missing data > 10%."
45,10.1097/MD.0000000000031415,Relationship between mean corpuscular volume and 30-day mortality in patients with intracerebral hemorrhage: Evidence from the MIMIC-III database,"Previous studies have shown that mean corpuscular volume (MCV) levels are associated with the prognosis of patients with cardiovascular disease. However, the relationship between MCV levels and mortality in patients with intracerebral hemorrhage (ICH) remains unclear.","The diagnosis of patients with ICH was confirmed according to the ICD-9-CM code 431. For patients who were admitted to the ICU more than one time, only the first admission to the ICU was included in the analysis. Patients younger than 16 years with a length of stay in the ICU of <24 hours were excluded. In addition, patients without MCV data from 6 hours before admission to the ICU until 24 hours after admission to the ICU were also excluded."
46,10.21037/atm-20-4519,The value of lactate/albumin ratio for predicting the clinical outcomes of critically ill patients with heart failure,"Previous studies have shown that the lactate/albumin (L/A) ratio plays a role in predicting the outcomes of septic shock or severe sepsis. However, the role of the L/A ratio in predicting the outcomes of critically ill patients with heart failure remains unclear. We therefore performed a retrospective study to clarify this issue.",We included critically ill adult patients with heart failure (≥18 years) at first ICU admission from the database. The exclusion criteria were as follows: (I) non-adult patients and (II) missing lactate and albumin values at ICU admission.
47,10.1371/journal.pone.0250320,Association of prescription opioid use on mortality and hospital length of stay in the intensive care unit,"Several studies show that chronic opioid dependence leads to higher in-hospital mortality, increased risk of hospital readmissions, and worse outcomes in trauma cases. However, the association of outpatient prescription opioid use on morbidity and mortality has not been adequately evaluated in a critical care setting. The purpose of this study was to determine if there is an association between chronic opioid use and mortality after an ICU admission.","Patients age 18 years and older were included in the study, and we defined chronic opioid use by the presence of an outpatient opioid prescription on admission to the ICU. Exclusion criteria included patients who expired during their hospital stay or presented with overdose; as well patients with cancer, anoxic brain injury, non-prescription opioid use, or if an accurate medication reconciliation was unable to be obtained."
48,10.1186/s12883-023-03219-1,Association between red cell distribution width-to-platelet ratio and short-term and long-term mortality risk in patients with acute ischemic stroke,The objective of this study was to evaluate the association between red cell distribution width/platelet ratio (RPR) and 30-day and 1-year mortality in acute ischemic stroke (AIS).,"The included criteria were (1) diagnosed as AIS at ICU admission, with admission diagnoses classified as ICD-9 code: 43,301, 43,311, 43,321, 43,331, 43,381, 43,391, 43,401, 43,411, 43,491. Excluded criteria were (1) aged < 18 years old; (2) hospitalized in the ICU for less than 24 h and (3) missing key data, such as red cell distribution width (RDW),and platelet. "
49,10.3389/fmed.2021.636869,The Association Between the Baseline and the Change in Neutrophil-to-Lymphocyte Ratio and Short-Term Mortality in Patients With Acute Respiratory Distress Syndrome,"Two previous studies have shown that increased neutrophil to lymphocyte ratio (NLR) is associated with short-term prognosis in patients with acute respiratory distress syndrome (ARDS), but it is usually assessed as a single threshold value at baseline. We investigated the relationship between the baseline and the early change in NLR and 30-day mortality in patients with ARDS to evaluate the prognostic value of NLR baseline and NLR changes during the ","Our inclusion criteria were as follows: at least 16 years, ICU stay more than 72 h, ARDS diagnosis meeting Berlin standard at the time of ICU admission, had lymphocyte and neutrophil count within 24 h after ICU admission. We excluded patients with chronic hematologic disorders, lacked the baseline of lymphocyte and neutrophil records. If a patient was admitted repeatedly during the study period, we used only the record of his first ICU admission."
50,10.1371/journal.pone.0234521,The weekend effect for stroke patients admitted to intensive care: A retrospective cohort analysis,"To examine the effect of weekend admission on short and long-term morbidity and mortality, for patients admitted to intensive care after suffering a cerebrovascular accident (stroke).","The data in this study was limited to patients aged 16–89 years of age.Stroke was defined using ICD-9 codes recorded in the MIMIC III database. We defined stroke with ICU admission diagnosis classified as ICD-9 code 430 (subarachnoid haemorrhage), 431 (intracerebral haemorrhage), 432 (other and unspecified intracranial haemorrhage), 433 (occlusion and stenosis of precerebral arteries), or 434 (occlusion of cerebral arteries) [21]. Stroke was further subclassified into either haemorrhagic (ICD 430, 432, 432) or ischemic (ICD 433, 434) stroke. Weekend ICU admission was defined as any admission during the 48-hour period between midnight at the beginning of Saturday, and midnight at the end of Sunday.Only the first index admission to ICU for each patient was included in the analysis."
51,10.2147/IJGM.S315306,Association of Timing of Biliary Drainage with Clinical Outcomes in Severe Acute Cholangitis: A Retrospective Cohort Study,"The guidelines recommend urgent biliary drainage (BD) for severe acute cholangitis, without a clear definition of ""urgent"". To explore the optimal time, we identified the impact of timing of BD on clinical outcomes in severe acute cholangitis.","Adult patients (>18 years old) in their first ICU stay with ICD-9 diagnosis code of 57,451, 57,491, 5762 or 5761 were eligible for inclusion. According to the diagnoses criteria and severity criteria of Tokyo Guidelines 2018 (TG18) within the first 24 hours after admission, patients with severe acute cholangitis were selected. Then we excluded patients without biliary drainage or with missing data of BD timing."
52,10.1536/ihj.20-825,Inhaled Beta2-Agonists Increase In-Hospital Mortality in ICU Patients with Heart Failure,The impact of beta2-agonists (B2As) on heart failure (HF) remains controversial. This study aimed to investigate whether inhaled B2As increased in-hospital mortality in ICU patients with HF.,"We restricted the initial search to patients whose diagnosis included HF using ICD-9 code (code = 428.22, 428.23, 428.32, 428.33, 428.42, or 428.43). The exclusion criteria were as follows: (1) patients < 18 years old and (2) patients using other drugs activating adrenergic receptors, such as epinephrine, norepinephrine, phenylephrine, isoprenaline, dopamine, or dobutamine."
53,10.1002/jcla.24553,The association between Monocyte-to-Lymphocyte ratio and postoperative delirium in ICU patients in cardiac surgery,To analyze the relationship between monocyte-to-lymphocyte ratio (MLR) and postoperative delirium (POD).,"The subjects included in this study had to meet the following criteria: (1) The current procedural terminology (CPT) was utilized to identify patients undergoing cardiac surgery: Ideally, the CPT number ought to fall between 33,010 and 37,799, and (2) age ≥16 years. Exclusion  criteria of this study were as follows: (1) younger than 16 years of  age; (2) monocytes and lymphocyte count data were lost on the first day of admission to ICU; (3) data were missing by more than 20%; (4) intubated patients; and (5) patients had a hematologic neoplasm diagnosis."
54,10.1093/inthealth/ihab012,A nomogram to predict in-hospital mortality of neonates admitted to the intensive care unit,To explore the influencing factors for in-hospital mortality in the neonatal intensive care unit (NICU) and to establish a predictive nomogram.,"Neonates with a gestational age of 23–31 weeks were included in our study, while those with missing data, including birthweight, vital signs and laboratory measurements, were excluded."
55,10.1186/s13052-021-00994-w,Diagnostic accuracy of a dynamically increased red blood cell distribution width in very low birth weight infants with serious bacterial infection,Serious bacterial infection (SBI) remains an important cause of morbidity and mortality in preterm infants. The objective of this study was to evaluate the dynamically increased value of the red cell distribution width (RDW) in the diagnosis of SBI.,"Newborns who were admitted to the neonatal intensive care unit (NICU) within 24 h after birth were eligible for inclusion in the study. The criteria for exclusion were: (a) birth weight ≥ 1500 g; (b) only one RDW value; (c) congenital disease; (d) multiple gestation; (e) missing gestational age or birth weight or laboratory parameters [including white blood cell (WBC), hemoglobin (Hb), platelet count (PLT)]; (f) red blood cells transfusion."
56,10.1016/j.jcrc.2020.07.019,Supervised machine learning for the early prediction of acute respiratory distress syndrome (ARDS),Acute respiratory distress syndrome (ARDS) is a serious respiratory condition with high mortality and associated morbidity. The objective of this study is to develop and evaluate a novel application of gradient boosted tree models trained on patient health record data for the early prediction of ARDS.,"Only patients with age data available and at least 18 years of age were included. Patient stays that did not have at least one observation of each required measurement type were excluded. Finally, we included only patient stays that had durations within a specified window."
57,10.1186/s12873-022-00589-6,The association between continuous renal replacement therapy as treatment for sepsis-associated acute kidney injury and trend of lactate trajectory as risk factor of 28-day mortality in intensive care units,"Sepsis has high incidence and fatality rates in intensive care units, often leading to renal failure. The effectiveness of continuous renal replacement therapy (CRRT) in sepsis-associated acute kidney injury (S-AKI) patients is currently uncertain.","This study selected S-AKI patients from the MIMIC-III database. The inclusion criteria included meeting Sepsis-3 criteria, since they have severe infection and organ failure (SOFA score ≥ 2); AKI that occurred during hospitalization (increase in SCr by 0.3 mg/dl [6.5 ?mol/l]) within 48 h; a 1.5-times increase in SCr from baseline, which is known or presumed to have occurred within the previous 7 days; urine volume < 0.5 ml/kg/hour for 6 hours. Patients younger than 18 years and without longitudinal records of lactate levels within 28 days were excluded."
58,10.3389/fdgth.2023.1085602,Identifying encephalopathy in patients admitted to an intensive care unit: Going beyond structured information using natural language processing,"Encephalopathy is a severe co-morbid condition in critically ill patients that includes different clinical constellation of neurological symptoms. However, even for the most recognised form, delirium, this medical condition is rarely recorded in structured fields of electronic health records precluding large and unbiased retrospective studies. We aimed to identify patients with encephalopathy using a machine learning-based approach over clinical notes in electronic health records.",All patients with at least 1 clinical note in the “noteevents” table without exclusion criteria.
59,10.1186/s12871-023-02074-4,Association of estimated glomerular filtration rate and all-cause mortality in acute pancreatitis: a retrospective analysis,Our primary objective was to explore the association between estimated glomerular filtration rate (eGFR) and all-cause mortality in acute pancreatitis (AP) admission to intensive care units.,"Patients with AP were retrieved according to the ICD-9 code for the diagnosis of AP (5770). Only patients at the first admission to the ICU and those aged ≥ 18 years were included. ICU length of stay < 24 h or length of hospital stay > 90 days; no ICU information; incomplete (> 10% of values missing), incorrect, or uninterpretable data; patients lacking serum creatinine; and those with metastatic tumors, solid tumors, lymphoma, or acquired immunodeficiency syndrome were excluded."
60,10.1186/s40560-020-00459-y,Development of a nomogram to predict 30-day mortality of patients with sepsis-associated encephalopathy: a retrospective cohort study,Sepsis-associated encephalopathy (SAE) is related to increased short-term mortality in patients with sepsis. We aim to establish a user-friendly nomogram for individual prediction of 30-day risk of mortality in patients with SAE.,"We included adult patients (> 17 years of age) with a diagnosis of sepsis according to the Sepsis-3: (1) Patients with infection confirmed by the positive results of microbial cultivation and (2) the SOFA) score ≥ 2. Excluded were patients (1) with primary brain injury (traumatic brain injury, ischemic stroke, hemorrhagic stroke, epilepsy, or intracranial infection); (2) with pre-existing liver or kidney failure affecting consciousness; (3) with severe burn and trauma; (4) receiving cardiac resuscitation recently; (5) with chronic alcohol or drug abuse; (6 )with severe electrolyte imbalances or blood glucose disturbances, including hyponatremia (< 120 mmol/l), hyperglycemia (> 180 mg/dl), or hypoglycemia (< 54 mg/dl); (7) dying or leaving within 24 h since ICU admission; and (8) without an evaluation of GCS."
61,10.1177/2045894020970363,Fluctuations of driving pressure during mechanical ventilation indicates elevated central venous pressure and poor outcomes,Inappropriate mechanical ventilation may induce hemodynamic alterations through cardiopulmonary interactions. The aim of this study was to explore the relationship between airway pressure and central venous pressure during the first 72 h of mechanical ventilation and its relevance to patient outcomes.,"The inclusion criteria in this study were as follows: (1) hypoxia with an oxygen index (PaO2/fraction of inspired oxygen (FiO2)) <300mmHg at the time of ICU admission; (2) received invasive volume-controlled or pressure-controlled mechanical ventilation for ≥72h; (3) with complete medical records including available CVP measurements and other hemodynamic records during the first 72?h; (4) adequate sedation and analgesia with the level of sedation assessed with the Ramsay Sedation Scale (Score 6) or Riker SAS Scale (Score 1) or Richmond Agitation-Sedation Scale (Score ?5). For patients with multiple ICU stays, only data related to the first ICU admission were considered. The patients who were younger than 18 years old were excluded, measurements of plateau pressure (Pplat) <5 was excluded to avoid the risk that small numbers of record may not truly represent patients’ physiological status"
62,10.1002/jcla.24053,Predictive value of red blood cell distribution width in septic shock patients with thrombocytopenia: A retrospective study using machine learning,Sepsis-associated thrombocytopenia (SAT) is common in critical patients and results in the elevation of mortality. Red cell distribution width (RDW) can reflect body response to inflammation and oxidative stress. We try to investigate the relationship between the RDW and the prognosis of patients with SAT through machine learning.,"Patients hospitalized in SICU and MICU firstly diagnosed  with sepsis, severe sepsis, and septic shock were selected according to ICD code (ICD code: 99591, 99592, and 78552), and septic  patients  without  shock  were  excluded.  Considering  other  factors  that might affect our result, we had determined the following exclusion criteria: 1) hematological malignancies, for example, leukemia, lymphoma, myeloma, etc; 2) immune system diseases, such as,  immune  thrombocytopenic  purpura  (ITP),  thrombotic  thrombocytopenic purpura (TTP), systemic lupus erythematosus (SLE), etc; 3)  patients with malignant tumors; 4). pregnant or breastfeeding; and  5) younger than 18 years old or older than 80."
63,10.1038/s41598-019-49006-2,Critical Transitions in Intensive Care Units: A Sepsis Case Study,"In this paper, we propose a computational method based on surprise loss (SL) to discover data-driven indicators of such transitions in a multivariate time series dataset of septic shock and non-sepsis patient cohorts","Patients with septic shock were identified .Among the septic shock patients, we analyzed only adults (18+ years old at admission) with at least a 36-hours stay and at most 144 hours spent in the unit before onset, which generated a cohort of 630 patients. Our non-sepsis cohort comprised 6,236 patients who lacked Sepsis-3 annotation or sepsis-specific ICD-9 codes and who stayed between 36 and 144 hours in the ICU."
64,10.1093/jamia/ocaa004,A customizable deep learning model for nosocomial risk prediction from critical care notes with indirect supervision,"Reliable longitudinal risk prediction for hospitalized patients is needed to provide quality care. Our goal is to develop a generalizable model capable of leveraging clinical notes to predict 3 nosocomial diseases 24–96 hours in advance: hospital acquired acute kidney injury (HAAKI), hospital acquired pressure injury (HAPI), and hospital acquired anemia (HAA).","Included: (1) aged >= 15; (2) For HAAKI, meets KDIGO or Note criteria for AKI; or for HAPI, meets NPUAP or Note criteria for PI; or for HAA meets WHO or Note critieria for anemia; (3) with date-of-event >= 48 hours after hospital admission. Excluded: admissions with fewer than 2 days of notes"
65,10.1177/03000605211016274,Systemic immune-inflammation index as a promising predictor of mortality in patients with acute coronary syndrome: a real-world study,"Prognostic indicators in acute coronary syndrome (ACS) would aid in decision-making and identifying high-risk patients. The systemic immune-inflammation index (SII) has good prognostic value in many diseases; however, its use has not been reported for ACS. We aimed to determine the associations between the SII and outcomes in patients with ACS, with adjustment for confounders.","Definitions of type of ACS were based on International Classification of Diseases Ninth Revision (ICD-9) codes. The inclusion criterion was a diagnosis of ACS. The exclusion criteria were 1) stay in the intensive care unit (ICU) of less than 48 hours; 2) no neutrophil, lymphocyte, or platelet counts within the first 24 hours after admission; and 3) any cancer or malignancy."
66,10.1371/journal.pone.0287046,Severe fluctuation in mean perfusion pressure is associated with increased risk of in-hospital mortality in critically ill patients with central venous pressure monitoring: A retrospective observational study,The mean perfusion pressure (MPP) was recently proposed to personalize tissue perfusion pressure management in critically ill patients. Severe fluctuation in MPP may be associated with adverse outcomes. We sought to determine if higher MPP variability was correlated with increased mortality in critically ill patients with CVP monitoring.,"The inclusion criteria were (1) age 16 years or more; (2) at least 24 hours of continuous MAP and CVP invasive monitoring within the first 72 hours in the first ICU stay and (3) at least 20 MPP readings in the daytime and at least seven in the nighttime. Daytime is defined as 7 am to 11 pm, otherwise as nighttime. Those who received dialysis, died during the first 24 hours, were complicated with chronic kidney disease stage 5, intracranial hypertension, abdominal compartment syndrome and with incomplete data or extreme MPP data were excluded."
67,10.3389/fneur.2023.1221335,Predictive value of admission red cell distribution width-to-platelet ratio for 30-day death in patients with spontaneous intracerebral hemorrhage: an analysis of the MIMIC database,Prognostic assessment plays an important role in the effective management of patients with spontaneous intracerebral hemorrhage (ICH). The study aimed to investigate whether elevated red cell distribution width-to-platelet ratio (RPR) at admission was related to 30-day death in patients with spontaneous intracerebral hemorrhage (ICH).,ICD-9 code [ICD-9 (431)] was utilized to identify patients with ICH. Patients diagnosed with ICH were potentially eligible for inclusion. The excluded criteria were as follows: (1) patients aged <18 years or ≥90 years; (2) patients admitted to the ICU for less than 24 h; (3) patients with missing important variables such as red cell distribution width (RDW) and platelet.
68,10.1186/s12911-020-01326-4,Hyperchloremia in critically ill patients: association with outcomes and prediction using electronic health record data,"Increased chloride in the context of intravenous fluid chloride load and serum chloride levels (hyperchloremia) have previously been associated with increased morbidity and mortality in select subpopulations of intensive care unit (ICU) patients (e.g patients with sepsis). Here, we study the general ICU population of the Medical Information Mart for Intensive Care III (MIMIC-III) database to corroborate these associations, and propose a supervised learning model for the prediction of hyperchloremia in ICU patients.","ICU stays were excluded if the patient was below 18 years of age or in the ICU for a readmission within a hospitalization. Of the remaining ICU stays, we further excluded records as these patients were either already hyperchloremic or did not have chloride data on day 1 (we did not impute serum chloride measurements on day 1)."
69,10.1007/s11255-023-03583-4,Associations of continuous anionic gap detection with the mortality in critically ill patients receiving renal replacement therapy,To investigate the associations of anion gap (AG) levels before and 1-day after hemodialysis as well as anion gap changes with the mortality in critically ill patients receiving renal replacement therapy (RRT).,"Patients ≥ 18 years who received RRT for ≥ 2 days in ICU from the database with measurement of anion gap before and 1-day after RRT were included in our study. Patients aged < 18 years, and those with RRT treatment < 2 days were excluded. "
70,10.1186/s12911-021-01517-7,OASIS+: leveraging machine learning to improve the prognostic accuracy of OASIS severity score for predicting in-hospital mortality,"Severity scores assess the acuity of critical illness by penalizing for the deviation of physiologic measurements from normal and aggregating these penalties (also called ""weights"" or ""subscores"") into a final score (or probability) for quantifying the severity of critical illness (or the likelihood of in-hospital mortality). Although these simple additive models are human readable and interpretable, their predictive performance needs to be further improved.","The following criteria were used to exclude patients from our cohort dataset: (1) age less than 18 years or greater than 90 years; (2) ICU stays with duration less than 24 h. For patients with multiple ICU stays, we included the first ICU stay with LoS greater than or equal to 24 h."
71,10.1186/s12882-023-03090-9,Prognostic value of C-reactive protein to albumin ratio for mortality in acute kidney injury,"Inflammation plays an important role in the development of acute kidney injury (AKI). However, there are few studies exploring the prognostic influence of C-reactive protein to albumin ratio (CAR) among AKI patients. In this study, we investigated whether CAR could be a useful marker to predict the mortality of AKI.","Eligible patients met the following inclusion criteria: age 18 years or older at first admission and the primary diagnosis was AKI. The exclusion criteria were: absence of data on the serum albumin and CRP at the first admission, missing > 5% individual data"
72,10.1055/a-2274-0389,Blood Urea Nitrogen to Serum Albumin Ratio as A New Prognostic Indicator in Critically Ill Patients with Diabetic Ketoacidosis: A Retrospective Cohort Study,To investigate the predictive value of the blood urea nitrogen to serum albumin ratio for in-hospital and out-of-hospital mortality in critically ill patients with diabetic ketoacidosis.,"All patients diagnosed with DKA and admitted to the intensive care unit (ICU) for the first time were included based on the ICD-9 codes (24910, 24911, and 25010– 25013). Patients who met the following criteria were excluded: (1) age < 18 years, (2) repeated ICU admissions, (3) ICU stay for < 48 h, (4) missing > 5 % of individual data, and (5) lack of BAR data."
73,10.21037/jtd-23-1696,Clinical value of the red blood cell distribution width to albumin ratio in the assessment of prognosis in critically ill patients with sepsis: a retrospective analysis,Red blood cell (RBC) distribution width (RDW) to albumin ratio is a novel biomarker and its prognostic effect on critically ill patients with sepsis has not been extensively investigated. The objective of this study was to identify the prognostic value of the RDW to albumin ratio in these patients.,"The selection criteria in our study included adult ICU patients with sepsis at their first hospital admission and a length of ICU stay longer than 24 hours. We identified a sepsis population according to the Martin criteria. Patients were excluded if they had no data on RDW or albumin within the first 24 hours of admission, or if more than 5% of the data were absent."
74,10.3390/bioengineering11030199,"A Comparison of the Impact of Pharmacological Treatments on Cardioversion, Rate Control, and Mortality in Data-Driven Atrial Fibrillation Phenotypes in Critical Care","Critical care physicians are commonly faced with patients exhibiting atrial fibrillation (AF), a cardiac arrhythmia with multifaceted origins. Recent investigations shed light on the heterogeneity among AF patients by uncovering unique AF phenotypes, characterized by differing treatment strategies and clinical outcomes.","We include patients at least 18 years of age with a diagnostic code indicating AF (ICD-9-CM: 427.31). For patients who exhibited more than one ICU admission, only the first admission with an AF diagnosis is considered. Patients with an ICU stay shorter than 24 h or age below 18 years are excluded from the analysis."
